id,nombre,apellido,rol,token,password,pagado,puesto_trabajo,nombre_empresa,email,telefono,pais,interes,alergenos,linkedIn,image_path,cluster,createdAt,updatedAt
1,Alexander,Leblanc,partner,19074a3f-4ee5-4cc6-893c-2f93378ecc5b,fbG)8D_Zu%,0,Coordinador de Programas de e-Learning,Innovate Ltd,zcoleman@example.net,(702)852-9685x154,USA,"[""Finanzas"", ""Educacion""]","[""Peanuts"", ""Lactose""]",http://linkedin.com/in/ficticio,nada,9.0,2024-07-03 10:20:20,2024-07-03 10:20:20
2,Kenneth,Morales,user,50122733-f90d-46cd-86cc-f69789b691dd,@BTcUMOBa1,1,Especialista en LMS (Learning Management Systems),Dev Solutions,roseerika@example.com,286-309-5230,UK,"[""Educacion"", ""Tecnologia""]","[""Gluten"", ""Nada""]",http://linkedin.com/in/ficticio,nada,9.0,2024-07-03 10:20:20,2024-07-03 10:20:20
3,Brad,Dunn,partner,744d2aff-48ef-4d8d-97d0-4f71572a32ad,VEqEsRva&0,1,Productor de Multimedia Educativa,Innovate Ltd,davidhughes@example.net,(893)898-6211x06035,Germany,"[""Salud"", ""Tecnologia""]","[""Peanuts"", ""Nada""]",http://linkedin.com/in/ficticio,nada,9.0,2024-07-03 10:20:20,2024-07-03 10:20:20
4,Christine,Stephenson,speaker,5995b94e-f5bd-4d7b-9065-367f2d5adf18,%AwO2QYajd,0,Desarrollador de Contenidos de e-Learning,Tech Corp,donovanteresa@example.net,817.957.7858x829,UK,"[""Tecnologia"", ""Salud""]","[""Lactose"", ""Peanuts""]",http://linkedin.com/in/ficticio,nada,9.0,2024-07-03 10:20:20,2024-07-03 10:20:20
5,Hunter,Roberts,speaker,77c0c131-b23d-48fd-8c74-c0f3cfb13a0e,^65&cVRt#7,1,Especialista en Evaluación y Certificación en Línea,Innovate Ltd,daviesjeffrey@example.com,(910)922-5074x1277,USA,"[""Educacion"", ""Tecnologia""]","[""Gluten"", ""Nada""]",http://linkedin.com/in/ficticio,nada,9.0,2024-07-03 10:20:20,2024-07-03 10:20:20
6,David,Lucas,speaker,9cb0a7e7-0f2c-4572-a28e-ba60ec2dfedb,c8YTZEgA#N,1,Especialista en LMS (Learning Management Systems),Innovate Ltd,maddenangelica@example.org,(213)552-4653x367,France,"[""Finanzas"", ""Educacion""]","[""Lactose"", ""Gluten""]",http://linkedin.com/in/ficticio,nada,9.0,2024-07-03 10:20:20,2024-07-03 10:20:20
7,Erica,Wolfe,speaker,c1a155de-7feb-47b9-ade4-e4d68fc81fcb,g*wL6%M28o,1,Diseñador Instruccional,Dev Solutions,tracey55@example.com,897-703-1979,España,"[""Salud"", ""Tecnologia""]","[""Gluten"", ""Nada""]",http://linkedin.com/in/ficticio,nada,9.0,2024-07-03 10:20:20,2024-07-03 10:20:20
8,Jillian,Butler,partner,ea088a1b-e80a-4e03-8957-36f5802e7bc4,c@Tp1gAq2p,1,Coordinador de Programas de e-Learning,Dev Solutions,alex66@example.com,4912035888,UK,"[""Salud"", ""Finanzas""]","[""Gluten"", ""Nada""]",http://linkedin.com/in/ficticio,nada,9.0,2024-07-03 10:20:20,2024-07-03 10:20:20
9,Nicole,Young,partner,e791f868-1336-41c1-9cc1-a241a19cdbe4,5^28W9lWKo,1,Analista de Datos Educativos,Innovate Ltd,judymason@example.org,723-297-5924x44561,Germany,"[""Tecnologia"", ""Finanzas""]","[""Peanuts"", ""Nada""]",http://linkedin.com/in/ficticio,nada,9.0,2024-07-03 10:20:20,2024-07-03 10:20:20
10,Tracy,Franco,speaker,0d76babf-7f5e-4a18-84a5-84e9e98c3829,u(gp9$MhXv,0,Diseñador Gráfico para e-Learning,Dev Solutions,lorimitchell@example.net,253.958.2113,España,"[""Finanzas"", ""Salud""]","[""Gluten"", ""Peanuts""]",http://linkedin.com/in/ficticio,nada,9.0,2024-07-03 10:20:20,2024-07-03 10:20:20
11,Jonathan,Norris,user,82a2c05f-897b-49b7-8b36-b56c5039d97d,bJ1DzpDq3#,1,Consultor de e-Learning,Innovate Ltd,itrujillo@example.com,201.247.9856x1058,Canada,"[""Finanzas"", ""Educacion""]","[""Nada"", ""Gluten""]",http://linkedin.com/in/ficticio,nada,9.0,2024-07-03 10:20:20,2024-07-03 10:20:20
12,Richard,Evans,speaker,a91a4cfc-bd0c-4202-add0-7898f20777b9,j%1_)1A)Qp,1,Analista de Datos Educativos,Innovate Ltd,angeljohns@example.com,(617)295-7530x318,Germany,"[""Salud"", ""Educacion""]","[""Gluten"", ""Nada""]",http://linkedin.com/in/ficticio,nada,9.0,2024-07-03 10:20:20,2024-07-03 10:20:20
13,James,Brown,speaker,90f04bf0-6e08-4078-8ee2-60e00a76ac9c,n@7An#Zr#^,1,Analista de Datos Educativos,Innovate Ltd,tmartinez@example.net,+1-209-645-2918x114,Canada,"[""Salud"", ""Finanzas""]","[""Peanuts"", ""Nada""]",http://linkedin.com/in/ficticio,nada,9.0,2024-07-03 10:20:20,2024-07-03 10:20:20
14,Anita,Mcintosh,speaker,00b04922-1819-4b83-bce0-3cdc8064e484,D8Z6FESe+6,1,Coordinador de Programas de e-Learning,Innovate Ltd,nealjason@example.net,+1-654-313-9737,Canada,"[""Educacion"", ""Finanzas""]","[""Gluten"", ""Peanuts""]",http://linkedin.com/in/ficticio,nada,9.0,2024-07-03 10:20:20,2024-07-03 10:20:20
